pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_tmag,sy_kepmag,sy_gaiamag,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
TOI-4377 b,TOI-4377,Gaia DR3 5197568146570178176,Gaia DR2 5197568146570178176,TIC 394918211,,164.9324709,-82.2213501,11.707,9.809,9.148,10.7934,,11.4565,4974.0,3.39,0.205,1.36,3.52,,0.82217,3.88,0.82,-0.54,,4.378081,15.10970598,8.4203321,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
KPS-1 b,KPS-1,Gaia DR3 1055895483267019392,Gaia DR2 1055895483267019392,TIC 99834717,,165.167198,64.9638452,12.97,11.41,10.931,12.212,,12.7933,5165.0,4.47,0.22,0.892,0.907,K1 V,-0.35281,,,,,1.706291,11.54527,1.68,Acton Sky Portal Observatory,2018,Other
TOI-3023 b,TOI-3023,Gaia DR3 5227928170880093568,Gaia DR2 5227928170880093568,TIC 454248975,,165.3158231,-72.3567044,12.252,10.68,10.243,11.4848,,12.0336,5760.0,4.048,0.085,1.12,1.668,,0.44404,7.0,1.7,-2.2,,3.9014971,16.43236571,4.961,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-5143 c,TOI-5143,Gaia DR3 3815937670648091392,Gaia DR2 3815937670648091392,TIC 281837575,,165.3651202,5.1394812,11.935,10.474,9.98,11.2668,,11.8113,5183.0,4.514,0.107,0.864,0.852,K V,-0.28635,7.4,4.4,-4.2,,5.2097118,16.25302201,1.6975678,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
WASP-34 b,WASP-34,Gaia DR3 3537110837630877568,Gaia DR2 3537110833333561728,TIC 437242640,,165.3993679,-23.8609457,10.285,9.172,8.792,9.7566,,10.2046,5700.0,4.5,-0.02,0.96,0.91,,0.0393,7.8,2.7,-3.6,,4.31768,11.209,2.1024,SuperWASP,2010,WASP
LP 791-18 d,LP 791-18,Gaia DR3 3562427951852172288,Gaia DR2 3562427951852172288,TIC 181804752,,165.6904843,-16.4064445,16.91,11.559,10.644,13.5571,,15.0715,2960.0,5.115,-0.09,0.139,0.182,M(6.1 +/- 0.7) V,-2.63827,0.5,,,,2.753436,1.032,0.9152,Spitzer Space Telescope,2023,Other
LP 791-18 c,LP 791-18,Gaia DR3 3562427951852172288,Gaia DR2 3562427951852172288,TIC 181804752,,165.6904843,-16.4064445,16.91,11.559,10.644,13.5571,,15.0715,2960.0,5.115,-0.09,0.139,0.182,M(6.1 +/- 0.7) V,-2.63827,0.5,,,,4.9899093,2.438,1.167,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
LP 791-18 b,LP 791-18,Gaia DR3 3562427951852172288,Gaia DR2 3562427951852172288,TIC 181804752,,165.6904843,-16.4064445,16.91,11.559,10.644,13.5571,,15.0715,2960.0,5.115,-0.09,0.139,0.182,M(6.1 +/- 0.7) V,-2.63827,0.5,,,,0.9479981,1.212,0.6195,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
TOI-762 A b,TOI-762 A,Gaia DR3 5362352744504000256,Gaia DR2 5362352744504000256,TIC 178709444,,166.0747423,-47.8214964,16.0,11.999,11.084,13.6615,,14.9535,3266.0,4.827,0.357,0.442,0.425,,-1.73283,9.3,5.5,-5.5,,3.4716826,8.33948164,1.389,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-1806.01,TOI-1806,Gaia DR3 733540939112687104,Gaia DR2 733540939112687104,TIC 166648874,,166.1181474,30.4585763,15.193,10.929,10.016,12.6196,,13.927,3272.0,4.82521,,0.392935,0.401575,,-1.77852,,,,,15.1454693,3.4095367,2.5830151,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-5108 b,TOI-5108,Gaia DR3 3868491612036282752,Gaia DR2 3868491612036282752,TIC 350348197,,166.2695041,11.2464069,9.75,8.612001,8.3,9.18458,,9.608,5808.0,4.26,0.2,1.1,1.29,,0.27505,5.8,1.0,-0.8,,6.753581,6.6,2.2,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
WASP-175 b,WASP-175,Gaia DR3 5401743332678544640,Gaia DR2 5401743332678544640,TIC 448589187,,166.3187996,-34.1227453,12.959,11.765,11.471,12.3077,,12.7065,6229.0,4.359,0.15,1.212,1.204,F7,0.78882,1.745,0.995,-0.995,,3.0652907,13.540472,2.676,WASP-South,2019,WASP
WASP-106 b,WASP-106,Gaia DR3 3788394461991295488,Gaia DR2 3788394461991295488,TIC 53189332,,166.4296276,-5.0794854,11.21,10.472,10.161,10.99,,11.3659,6002.0,4.49,-0.02,1.175,1.47,F9 D,0.42198,7.0,2.0,-2.0,,9.28969,12.10569916,5.334,SuperWASP,2014,WASP
K2-319 b,K2-319,Gaia DR3 3811688440459523200,Gaia DR2 3811688440459523200,TIC 301540319,,166.8010058,3.0399357,12.213,10.705,10.223,11.4131,11.932,11.9397,5440.0,4.512,,0.954,0.898,,-0.23747,,,,,26.68,2.79,,K2,2020,K2
TOI-1199 b,TOI-1199,Gaia DR3 861975270310252416,Gaia DR2 861975270310252416,TIC 99869022,,166.8806581,61.3525723,11.093,9.83,9.466,10.4221,,10.8853,5710.0,4.19,0.44,1.23,1.45,,0.30428,4.2,0.2,-0.2,23.0,3.671463,10.5140239,2.149,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
OGLE2-TR-L9 b,OGLE2-TR-L9,Gaia DR3 5337273743301313536,Gaia DR2 5337273743301313536,TIC 466840711,,166.9798793,-61.1462496,14.718,13.508,13.117,14.1491,,14.5637,6933.0,4.25,-0.05,1.52,1.53,,0.51197,1.0,0.7,-0.7,,2.4855335,18.046,3.0016362,OGLE,2008,Other
K2-7 b,K2-7,Gaia DR3 3803494845449564672,Gaia DR2 3803494845449564672,TIC 53210555,,167.0937488,-1.065855,13.453,11.952,11.564,12.6109,13.054,13.0573,5700.0,4.092,0.049,1.056,1.533,,0.35025,8.6,2.5,-3.1,,28.6781,4.03523305,7.5816,K2,2015,K2
TOI-1799 b,TOI-1799,Gaia DR3 761300339243646848,Gaia DR2 761300339243646848,TIC 8967242,,167.2329152,34.3030149,8.98,7.73,7.381,8.3662,,8.81013,5690.0,4.45,-0.064,1.01,0.957,,-0.06198,5.1,2.2,-2.0,,7.094570865,1.642,2.5704,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
OGLE-TR-182 b,OGLE-TR-182,Gaia DR3 5337294049909975680,Gaia DR2 5337294049909975680,TIC 466884459,,167.3279228,-61.0952624,16.9195,15.453,14.737,16.0985,,16.6783,5924.0,4.47,0.37,1.14,1.14,,0.24059,4.3,0.5,-1.9,,3.9791,12.666,,OGLE,2007,Other
TOI-1194 b,TOI-1194,Gaia DR3 1074139748425931008,Gaia DR2 1074139748425931008,TIC 147950620,,167.8214811,69.9647749,11.302,9.791,9.34,10.4782,,10.9887,5394.0,4.463,0.348,0.9835,0.9608,,-0.1512,4.9,2.3,-2.1,,2.3106446,8.71664516,1.6276453,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-672 b,TOI-672,Gaia DR3 5396580575830873728,Gaia DR2 5396580575830873728,TIC 151825527,,167.9908627,-39.3281151,13.576,10.36,9.507,11.6739,,12.7364,3765.0,4.699,-0.71,0.5399,0.5441,,-1.32055,,,,,3.633575,5.2604,1.8069693,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-1203 b,TOI-1203,Gaia DR3 5402390257832925952,Gaia DR2 5402390257832925952,TIC 23434737,,168.2267358,-34.4069371,8.59,7.411,6.997,7.9995,,8.42196,5737.0,4.34,-0.39,0.886,1.179,G3 V,0.12977,12.5,1.3,-2.4,,4.1572888,1.52,1.911,La Silla Observatory,2025,Other
TOI-1203 d,TOI-1203,Gaia DR3 5402390257832925952,Gaia DR2 5402390257832925952,TIC 23434737,,168.2267358,-34.4069371,8.59,7.411,6.997,7.9995,,8.42196,5737.0,4.34,-0.39,0.886,1.179,G3 V,0.12977,12.5,1.3,-2.4,,25.502672,2.918,6.153,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
WASP-162 b,WASP-162,Gaia DR3 3558354604869150208,Gaia DR2 3558354604869150208,TIC 308098254,,168.2929079,-17.6577794,12.213,10.89,10.466,11.5688,,12.0652,5300.0,4.33,0.28,0.95,1.11,K0,0.05436,12.97,2.35,-2.35,,9.62468,11.209,4.2576,SuperWASP-South,2018,WASP
NGTS-24 b,NGTS-24,Gaia DR3 5397086969654628864,Gaia DR2 5397086969654628864,TIC 151920165,,168.5638892,-37.9101328,13.214,11.879,11.51,12.5695,,13.0525,5820.0,4.09,0.27,1.26,1.64,G2 IV,0.44592,4.77,3.56,-0.91,,3.4678796,13.60770257,2.929,Next-Generation Transit Survey (NGTS),2022,NGTS
K2-47 b,K2-47,Gaia DR3 3811760011794444928,Gaia DR2 3811760011794444928,TIC 301603728,,168.5825696,2.7805614,14.065,12.295,11.735,13.1612,13.771,13.7404,5054.0,4.544,-0.224,0.75,0.76,,-0.48202,,,,,31.6372,1.89,4.0,K2,2016,K2
HD 97658 b,HD 97658,Gaia DR3 3997075206232885888,Gaia DR2 3997075206232885888,TIC 82308728,HD 97658,168.6376584,25.7105962,7.76,6.203,5.734,6.9859,,7.5136,5212.0,4.64,-0.23,0.85,0.728,K1 V,-0.45469,3.9,2.6,-2.03,,9.4897116,2.12,2.8488,W. M. Keck Observatory,2010,Other
EPIC 201497682 b,EPIC 201497682,Gaia DR3 3810098271767907840,Gaia DR2 3810098271767907840,TIC 301610040,,168.9366786,0.4880606,13.948,12.086,11.438,13.0708,13.74,13.7368,4991.0,4.63444,-0.0892,0.78,0.554,,-0.76627,,,,,2.13174,0.692,,K2,2019,K2
K2-11 b,K2-11,Gaia DR3 3810535361999701376,Gaia DR2 3810535361999701376,TIC 301609547,,169.0418328,1.9866832,13.409,11.865,11.347,12.6097,13.151,13.1501,5433.0,4.56,-0.12,1.35,5.15,G8,-0.31039,,,,,39.93767,7.55,5.808,K2,2015,K2
K2-43 b,K2-43,Gaia DR3 3789847707126025600,Gaia DR2 3789847707126025600,TIC 443616612,,169.117028,-3.9754405,15.748,12.422,11.577,13.7701,14.887,14.8215,3840.6,4.68275,,0.571,0.542,,-1.21241,,,,,3.471149,4.51,2.0448,K2,2016,K2
K2-43 c,K2-43,Gaia DR3 3789847707126025600,Gaia DR2 3789847707126025600,TIC 443616612,,169.117028,-3.9754405,15.748,12.422,11.577,13.7701,14.887,14.8215,3840.6,4.68275,,0.571,0.542,,-1.21241,,,,,2.198884,2.42,1.44,K2,2019,K2
K2-5 c,K2-5,Gaia DR3 3791512745687354496,Gaia DR2 3791512745687354496,TIC 38064757,,169.3034598,-1.8778254,14.974,12.449,11.595,13.5383,14.364,14.339,3930.0,4.71,-0.33,0.61,0.57,K7.5 V,-1.08341,,,,,10.93241,2.26,3.498,K2,2015,K2
K2-5 b,K2-5,Gaia DR3 3791512745687354496,Gaia DR2 3791512745687354496,TIC 38064757,,169.3034598,-1.8778254,14.974,12.449,11.595,13.5383,14.364,14.339,3930.0,4.71,-0.33,0.61,0.57,K7.5 V,-1.08341,,,,,5.73594,1.91,2.654,K2,2015,K2
WASP-31 b,WASP-31,Gaia DR3 3545873945303316224,Gaia DR2 3545873945303316224,TIC 437248515,,169.4388603,-19.0547781,11.658,10.912,10.65,11.4553,,11.8163,6302.0,4.308,-0.2,1.163,1.252,,0.33572,1.0,3.0,-0.5,,3.4059096,17.363,2.6472,SuperWASP,2010,WASP
K2-36 b,K2-36,Gaia DR3 3811989156889528320,Gaia DR2 3811989156889528320,TIC 363445121,,169.4490102,3.8665038,11.726,10.034,9.454001,10.9128,11.531,11.527,4916.0,4.621,-0.047,0.79,0.718,K2 V,-0.57,1.4,0.4,-0.5,17.13,1.422614,1.43,1.1232,K2,2016,K2
K2-36 c,K2-36,Gaia DR3 3811989156889528320,Gaia DR2 3811989156889528320,TIC 363445121,,169.4490102,3.8665038,11.726,10.034,9.454001,10.9128,11.531,11.527,4916.0,4.621,-0.047,0.79,0.718,K2 V,-0.57,1.4,0.4,-0.5,17.13,5.340888,3.2,1.153,K2,2016,K2
K2-22 b,K2-22,Gaia DR3 3811002791880297600,Gaia DR2 3811002791880297600,TIC 363445338,,169.4827046,2.6190363,15.565,12.726,11.924,13.9558,14.928,14.9537,3879.0,4.7,0.032,0.595292,0.58,M0 V,-1.0744,,,,,0.381073,2.3,0.5856,K2,2015,K2
K2-50 b,K2-50,Gaia DR3 3817000078053804672,Gaia DR2 3817000078053804672,TIC 363444743,,169.483654,5.988289,14.705,12.41,11.664,13.5014,14.252,14.2575,4326.0,4.742,-0.1132,0.611,0.546,,-0.87356,,,,,8.7529,1.59,2.68,K2,2016,K2
EPIC 201833600 c,K2-50,Gaia DR3 3817000078053804672,Gaia DR2 3817000078053804672,TIC 363444743,,169.483654,5.988289,14.705,12.41,11.664,13.5014,14.252,14.2575,4326.0,4.742,-0.1132,0.611,0.634,,-0.87356,,,,,3.96151,1.0,2.16,K2,2019,K2
K2-45 b,K2-45,Gaia DR3 3790858845506203264,Gaia DR2 3790858845506203264,TIC 38087018,,169.6327547,-1.7740582,15.746,13.536,12.756,14.6026,15.319,15.3442,4103.0,4.824,,0.503,0.445,,-0.73994,,,,,1.7292684,6.71,1.689,K2,2016,K2
K2-8 b,K2-8,Gaia DR3 3797977118144236288,Gaia DR2 3797977118144236288,TIC 38114658,,169.7935178,-0.2844389,14.801,12.829,12.245,13.7067,14.384,14.3358,4870.0,4.52,-0.02,0.78,0.74,K3 V,-0.55319,,,,,10.35239,3.58,3.362,K2,2015,K2
K2-8 c,K2-8,Gaia DR3 3797977118144236288,Gaia DR2 3797977118144236288,TIC 38114658,,169.7935178,-0.2844389,14.801,12.829,12.245,13.7067,14.384,14.3358,4870.0,4.52,-0.02,0.78,0.74,K3 V,-0.55319,,,,,5.06416,2.41,2.08,K2,2016,K2
TOI-5704 b,TOI-5704,Gaia DR3 784983789642216320,Gaia DR2 784983789642216320,TIC 148673433,,169.8248694,44.9890782,11.529,9.718,9.021,10.6147,,11.2746,4590.0,4.543,0.428,0.73,0.7575,,-0.63927,,,,,3.771116,3.2274,2.3375061,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
K2-35 b,K2-35,Gaia DR3 3810609819552494976,Gaia DR2 3810609819552494976,TIC 363478257,,170.1031027,1.2858679,14.166,12.144,11.423,13.1872,13.917,13.9152,4402.71,4.697,0.04,0.701968,0.619575,K4 V,-0.71881,,,,,2.399964,1.32,1.992,K2,2016,K2
K2-35 c,K2-35,Gaia DR3 3810609819552494976,Gaia DR2 3810609819552494976,TIC 363478257,,170.1031027,1.2858679,14.166,12.144,11.423,13.1872,13.917,13.9152,4402.71,4.697,0.04,0.701968,0.619575,K4 V,-0.71881,,,,,5.608352,1.93,1.7976,K2,2016,K2
EPIC 201170410.02,EPIC 201170410,Gaia DR3 3786541956697681664,Gaia DR2 3786541956697428224,TIC 38116202,,170.1408561,-4.8070039,17.6984,13.464,12.619,15.3176,15.673,16.4386,3648.0,4.999,-0.048,0.287,0.282,,-1.9,,,,,6.7987,1.047,,K2,2020,K2
K2-13 b,K2-13,Gaia DR3 3811032513054107648,Gaia DR2 3811032513054107648,TIC 363479723,,170.1554763,2.5027534,12.882,11.571,11.169,12.2692,12.727,12.739,5698.0,4.33,-0.54,0.8,0.78,G3,-0.13534,,,,,39.91488,1.89,6.34,K2,2015,K2
TOI-5720 b,TOI-5720,Gaia DR3 3994047048130880384,Gaia DR2 3994047048130880384,TIC 230055368,,170.3135774,25.2732942,13.847,10.123,9.288,11.6196,,12.8215,3325.0,5.01,0.03,0.383,0.383,M3.5 +/- 1.0,-1.79183,5.0,,,,1.4344555,1.09,1.02,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HATS-59 b,HATS-59,Gaia DR3 3538256769264276480,Gaia DR2 3538256769264276480,TIC 437261733,,170.324325,-22.388177,14.033,12.59,12.238,13.2958,,13.7854,5670.0,4.422,0.18,1.038,1.036,,-0.00436,4.3,2.3,-2.3,,5.416081,12.621334,3.5928,HATSouth,2018,HAT
TOI-3877 b,TOI-3877,Gaia DR3 759209995840837248,Gaia DR2 759209995840837248,TIC 144310492,,170.4544727,33.9913822,12.215,11.313,10.916,11.9123,,12.3643,5731.0,4.181,0.269,1.16,1.445,,0.3075,5.9,2.9,-1.7,,4.123596,11.67975789,2.784,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HATS-74 A b,HATS-74 A,Gaia DR3 3545653561942122368,Gaia DR2 3545653561942122368,TIC 219189765,,171.0147921,-19.5569588,17.26,13.25,12.361,14.7599,,15.9837,3776.9,4.696,0.514,0.601,0.5758,,-1.2161,11.0,5.1,-5.1,4.74542,1.73185606,11.56766808,1.65336,HATSouth,2021,HAT
TOI-2641 b,TOI-2641,Gaia DR3 5382970374226953600,Gaia DR2 5382970374226953600,TIC 162802770,,171.1303716,-42.7321394,11.693,10.647,10.325,11.1897,,11.5712,6100.0,4.2,-0.15,1.16,1.336,F9 V,0.34044,10.8,9.0,-9.0,35.6,4.880974,18.10250383,1.68,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-2989 b,TOI-2989,Gaia DR3 3531594209836279168,Gaia DR2 3531594209836279168,TIC 97825640,,171.2316754,-27.0623619,13.859,11.588,10.861,12.7103,,13.4755,4672.0,4.58,-0.04,0.77,0.76,K4 V,-0.73755,,,,30.0,3.122832,12.55405838,2.68,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HAT-P-21 b,HAT-P-21,Gaia DR3 770622651659107712,Gaia DR2 770622651659107712,TIC 17993892,,171.2749348,41.0280207,11.459,10.503,10.111,11.1065,,11.5583,5588.0,4.33,0.01,1.24,1.21,G3,0.025,10.2,2.5,-2.5,15.9,4.12448,12.44199,3.672,HATNet,2010,HAT
K2-27 b,K2-27,Gaia DR3 3798552815560689792,Gaia DR2 3798552815560689792,TIC 363548415,,171.5151874,1.2306237,12.689,11.157,10.704,11.9186,12.428,12.4528,5246.0,4.48,0.12,0.88,0.876,,-0.26971,10.3,3.3,-5.2,,6.771347,4.74,2.802,K2,2016,K2
WASP-171 b,WASP-171,Gaia DR3 5376137837173646208,Gaia DR2 5376137837173646208,TIC 162922904,,171.8450533,-44.0887035,12.612,11.422,11.104,12.0233,,12.4407,5965.0,4.08,0.04,1.171,1.637,G0,0.67172,5.908,1.051,-1.051,,3.8186244,10.98482,4.5792,WASP-South,2019,WASP
K2-164 b,K2-164,Gaia DR3 3797456808626205696,Gaia DR2 3797456808626205696,TIC 173090902,,171.933659,-0.0628488,11.352,10.153,9.775,10.6964,11.13,11.0942,5791.0,3.81,-0.23,1.180894,2.196069,,0.59002,,,,,17.355066,3.24925008,9.168,K2,2018,K2
K2-10 b,K2-10,Gaia DR3 3798690151434945280,Gaia DR2 3798690151434945280,TIC 363573185,,172.1216476,1.6906217,12.429,11.059,10.645,11.7442,12.296,12.2156,5533.0,4.47,-0.07,0.88,0.956,F9,-0.10088,,,,,19.30553,3.773,3.8064,K2,2015,K2
K2-3 c,K2-3,Gaia DR3 3796690380302214272,Gaia DR2 3796690380302214272,TIC 173103335,,172.3353708,-1.4551364,12.168,9.421,8.561,10.5459,11.574,11.4785,3844.0,4.704,-0.157,0.549,0.546,M V,-1.23136,6.9,4.7,-4.7,40.71,24.646729,1.582,3.428,K2,2015,K2
K2-3 d,K2-3,Gaia DR3 3796690380302214272,Gaia DR2 3796690380302214272,TIC 173103335,,172.3353708,-1.4551364,12.168,9.421,8.561,10.5459,11.574,11.4785,3844.0,4.704,-0.157,0.549,0.546,M V,-1.23136,6.9,4.7,-4.7,40.71,44.55603,1.458,4.17,K2,2015,K2
K2-3 b,K2-3,Gaia DR3 3796690380302214272,Gaia DR2 3796690380302214272,TIC 173103335,,172.3353708,-1.4551364,12.168,9.421,8.561,10.5459,11.574,11.4785,3844.0,4.704,-0.157,0.549,0.546,M V,-1.23136,6.9,4.7,-4.7,40.71,10.0546535,2.078,2.563,K2,2015,K2
K2-18 b,K2-18,Gaia DR3 3910747531814692736,Gaia DR2 3910747531814692736,TIC 388804061,,172.560141,7.5878315,13.477,9.763,8.899,11.2373,12.473,12.4154,3457.0,4.7864,0.12,0.359,0.411,M2.5 V,-1.59688,,,,39.63,32.939623,2.37,2.682,K2,2015,K2
K2-12 b,K2-12,Gaia DR3 3800129201701685504,Gaia DR2 3800129201701685504,TIC 396972464,,173.1919022,2.2446794,12.38,10.983,10.605,11.637,12.137,12.0884,5672.0,4.3,0.0,0.965,1.117,F9,0.07181,8.9,3.0,-3.3,,8.28246,2.44,4.18,K2,2015,K2
TOI-3071 b,TOI-3071,Gaia DR3 5342880462319699200,Gaia DR2 5342880462319699200,TIC 452006073,,173.2790517,-56.5033871,12.383,11.314,11.005,11.8706,,12.2766,6177.0,4.37,0.35,1.29,1.31,,0.41667,0.95,0.14,-0.14,26.6,1.266938,7.16,1.85,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-6894 b,TOI-6894,Gaia DR3 3917278287286247808,Gaia DR2 3917278287286247808,TIC 67512645,,173.4691418,12.4510906,,13.169,12.207,14.9046,,16.3092,3007.0,5.039,0.142,0.207,0.2276,,-2.42597,,,,,3.37077196,9.5836785,1.422,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
NGTS-30 b,NGTS-30,Gaia DR3 3533836281547278848,Gaia DR2 3533836281547278848,TIC 322807371,,173.714867,-24.6054801,12.537,10.943,10.501,11.6707,,12.1755,5455.0,4.3,-0.03,0.94,0.913,,-0.18738,1.1,0.4,-0.4,,98.29838,10.40193409,6.13,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
EPIC 201757695.02,EPIC 201757695,,,TIC 380546118,,173.9385102,4.6164303,14.974,12.856,12.149,13.797,14.599,,4520.0,4.659,-0.003,0.727,0.655,,-0.36351,,,,,2.0478,0.90819,,K2,2020,K2
HATS-18 b,HATS-18,Gaia DR3 3483636295773117440,Gaia DR2 3483636295772522880,TIC 14614418,,173.9574203,-29.1560639,14.188,12.736,12.289,13.3898,,13.8786,5600.0,4.436,0.28,1.037,1.02,G V,-0.03152,4.2,2.2,-2.2,9.8,0.83784,14.896761,1.944,Multiple Observatories,2016,Other
HATS-22 b,HATS-22,Gaia DR3 3483606402800185728,Gaia DR2 3483606402800185728,TIC 14661418,,174.0098693,-29.5433642,13.397,11.556,10.942,12.4806,,13.1225,4803.0,4.644,0.0,0.759,0.689,K V,-0.64589,,,,,4.7228124,10.682177,2.1912,HATSouth,2017,HAT
K2-44 b,K2-44,Gaia DR3 3793339378098543616,Gaia DR2 3793339378098543616,TIC 49427836,,174.011661,-2.5209338,12.27,11.018,10.693,11.5968,12.126,12.0238,5912.0,4.101,0.0,1.15,1.58,,0.42968,,,,,5.657,2.433,4.296,K2,2016,K2
TOI-5174 b,TOI-5174,Gaia DR3 3793743895297313408,Gaia DR2 3793743895297313408,TIC 49428710,,174.1094967,-2.0233506,11.583,10.003,9.6,10.6309,,11.1031,5643.77,4.35958,0.415,1.0,1.09457,,0.03946,,,,,12.214286,5.351,4.8876935,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
K2-46 b,K2-46,Gaia DR3 3794162976731206272,Gaia DR2 3794162976731206272,TIC 49430892,,174.2662454,-0.90721,12.144,11.046,10.781,11.5642,11.995,11.9153,6256.0,4.198,-0.32,0.96,1.29,,0.41312,,,,,19.1541,2.05,6.73,K2,2016,K2
K2-4 b,K2-4,Gaia DR3 3792100950048409344,Gaia DR2 3792100950048409344,TIC 49462779,,174.7455392,-3.9055746,14.855,12.367,11.571,13.533,14.409,14.3403,4014.73,4.849,-0.12,0.635026,0.569359,,-0.91516,,,,,10.003417,2.1,2.9232,K2,2015,K2
K2-19 d,K2-19,Gaia DR3 3798833775141351552,Gaia DR2 3798833775141351552,TIC 281885301,,174.9602543,0.603596,13.024,11.596,11.161,12.3049,12.806,12.8153,5322.0,4.51,0.06,0.88,0.82,G9 V,-0.29196,8.0,,,20.54,2.5081,1.11,1.93,K2,2016,K2
K2-19 b,K2-19,Gaia DR3 3798833775141351552,Gaia DR2 3798833775141351552,TIC 281885301,,174.9602543,0.603596,13.024,11.596,11.161,12.3049,12.806,12.8153,5322.0,4.51,0.06,0.88,0.82,G9 V,-0.29196,8.0,,,20.54,7.9222,7.0,3.237,K2,2015,K2
K2-19 c,K2-19,Gaia DR3 3798833775141351552,Gaia DR2 3798833775141351552,TIC 281885301,,174.9602543,0.603596,13.024,11.596,11.161,12.3049,12.806,12.8153,5322.0,4.51,0.06,0.88,0.82,G9 V,-0.29196,8.0,,,20.54,11.8993,4.1,3.823,K2,2015,K2
K2-16 c,K2-16,Gaia DR3 3897048338487064064,Gaia DR2 3897048338487064064,TIC 281886199,,175.0972238,4.5574311,14.668,12.764,12.087,13.6771,14.298,14.3234,4742.0,4.51,-0.33,0.68,0.66,K3 V,-0.76082,,,,,19.07863,2.54,3.859,K2,2015,K2
K2-16 b,K2-16,Gaia DR3 3897048338487064064,Gaia DR2 3897048338487064064,TIC 281886199,,175.0972238,4.5574311,14.668,12.764,12.087,13.6771,14.298,14.3234,4742.0,4.51,-0.33,0.68,0.66,K3 V,-0.76082,,,,,7.6188,2.02,2.487,K2,2015,K2
EPIC 201754305 d,K2-16,Gaia DR3 3897048338487064064,Gaia DR2 3897048338487064064,TIC 281886199,,175.0972238,4.5574311,14.668,12.764,12.087,13.6771,14.298,14.3234,4761.0,4.629,-0.33,0.67,0.544,K3 V,-0.76082,,,,,2.71578,1.03,,K2,2019,K2
EPIC 201841433 b,EPIC 201841433,Gaia DR3 3909373932553827072,Gaia DR2 3909373932553827072,TIC 380583651,,175.206752,6.1348146,14.983,13.06,12.454,13.957,14.571,14.5885,5053.0,4.595,0.0,0.802,0.628461,,-0.63455,,,,,4.1698,1.04,2.4,K2,2019,K2
HD 101581 c,HIP 56998,Gaia DR3 5378886891123024512,Gaia DR2 5378886891122066560,TIC 397362481,HD 101581,175.2563039,-44.4041485,7.77,5.792,5.101,6.7213,,7.38399,4675.0,4.654,-0.343,0.653,0.63,K4/5V,-0.78186,6.88,4.27,-4.27,,6.20401,0.99,1.76,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HD 101581 b,HIP 56998,Gaia DR3 5378886891123024512,Gaia DR2 5378886891122066560,TIC 397362481,HD 101581,175.2563039,-44.4041485,7.77,5.792,5.101,6.7213,,7.38399,4675.0,4.654,-0.343,0.653,0.63,K4/5V,-0.78186,6.88,4.27,-4.27,,4.46569,0.956,1.77,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HATS-1 b,HATS-1,Gaia DR3 3540018633568783488,Gaia DR2 3540018633568783488,TIC 219698950,,175.5252399,-23.3548451,12.155,10.924,10.58,11.5122,,11.9363,5870.0,4.4,-0.06,0.986,1.038,,0.04139,6.0,2.8,-2.8,,3.446459,14.594,2.4168,HATSouth,2012,HAT
GJ 436 b,GJ 436,Gaia DR3 4017860992519744384,Gaia DR2 4017860992519744384,TIC 138819293,,175.5505363,26.7030669,10.67,6.9,6.073,8.40346,,9.57148,3586.11,4.792,0.0991,0.47,0.455,M2.5 V,-1.585,6.0,4.0,-5.0,44.09,2.64388312,4.17,1.00536,W. M. Keck Observatory,2004,Other
